,GLD,QQQ,SPY,TLT
2013-01-31,0.0,0.0,0.39999999999999997,0.6
2013-02-28,0.0,0.0,0.39999999999999997,0.6
2013-04-30,0.0,0.0,0.39999999999999997,0.6
2013-05-31,0.0,3.573913129655983e-24,0.5240950079370332,0.47590499206296677
2013-07-31,3.6186168237688655e-23,0.025078818048448574,0.6,0.3749211819515515
2013-09-30,6.319289054996573e-24,0.2990181117637844,0.6000000000000001,0.10098188823621561
2013-10-31,9.602813024523696e-24,0.22961330443608235,0.6,0.17038669556391772
2013-12-31,0.0,0.4,0.6,0.0
2014-01-31,0.0,0.17140954053894036,0.6,0.22859045946105966
2014-02-28,3.185716574633143e-23,0.5997149614066867,0.32392376968751846,0.07636126890579487
2014-03-31,1.885372918350585e-23,0.21534996476101737,0.6,0.18465003523898263
2014-04-30,1.8299238240644188e-23,0.10123351781341562,0.6,0.2987664821865844
2014-06-30,0.0,0.013973667244566106,0.6,0.3860263327554339
2014-07-31,0.0,0.29137060593724445,0.2723451476512688,0.4362842464114867
2014-09-30,1.4561883732672921e-22,0.25066347622147,0.6,0.14933652377852996
2014-10-31,6.69759453375148e-23,0.21273857233343693,0.6,0.1872614276665631
2014-12-31,0.0,0.12489531927623916,0.4094804024663324,0.46562427825742847
2015-03-31,0.0,0.23828444774668164,0.5509665799585912,0.2107489722947272
2015-04-30,0.0,0.27674475449718733,0.5233611841668261,0.1998940613359866
2015-06-30,0.0,0.29672053950685306,0.556368622055829,0.14691083843731806
2015-07-31,0.0,0.4646799596246263,0.3531899276862132,0.18213011268916043
2015-08-31,4.167664191182132e-23,0.3318116178672902,0.3757583031569877,0.2924300789757221
2015-09-30,4.251399169287131e-23,0.33707980009681277,0.3012727703940762,0.36164742950911105
2015-11-30,2.1058398909845838e-23,0.6,0.03214044769621207,0.367859552303788
2015-12-31,9.056559049890979e-24,0.6,0.023149956920146778,0.37685004307985326
2016-02-29,0.0,0.6,0.018518516820207907,0.3814814831797921
2016-03-31,3.943976857372298e-23,0.6,0.10517876096061278,0.29482123903938723
2016-05-31,4.097101601633754e-23,0.4440106534470991,0.2740400705635122,0.2819492759893888
2016-06-30,7.796944095911026e-23,0.197208908018942,0.477143047188843,0.32564804479221493
2016-08-31,3.4580987971025806e-24,0.574660063197145,0.12388630314734315,0.3014536336555118
2016-09-30,1.949173718359734e-23,0.6,0.10969845577850054,0.2903015442214995
2016-10-31,1.2906077849359702e-23,0.034856443563779274,0.4920673487662043,0.47307620767001646
2016-11-30,0.0,0.0,0.5999999999999998,0.4000000000000002
